time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-08-03T13:27:47.061Z,35.82793045,-98.08802032,5.931918621,2.02,ml,14,140.0623322,0.1499412358,0.1539971571,ok,ok2019pcah,2019-08-03T13:33:19.063Z,"14km WSW of Kingfisher, Oklahoma",earthquake,3.859064451,5.123625057,,11,automatic,ok,ok
2019-08-03T13:22:45.870Z,35.9786667,-117.6715,-0.3,0.95,ml,11,129,0.1115,0.23,ci,ci38687967,2019-08-03T13:26:38.300Z,"22km ENE of Little Lake, CA",earthquake,0.67,31.61,0.143,7,automatic,ci,ci
2019-08-03T13:19:32.530Z,35.7843333,-117.5938333,6.46,0.82,ml,11,159,0.1411,0.2,ci,ci38687951,2019-08-03T13:23:05.920Z,"17km W of Searles Valley, CA",earthquake,0.76,1.62,0.106,5,automatic,ci,ci
2019-08-03T13:18:01.840Z,36.1521683,-117.9223328,2.66,1.99,ml,31,96,0.06461,0.19,ci,ci38687935,2019-08-03T13:21:43.231Z,"12km N of Coso Junction, CA",earthquake,0.33,1.05,0.257,20,automatic,ci,ci
2019-08-03T13:12:32.230Z,36.0060005,-120.574501,3.24,0.54,md,7,186,0.03091,0.03,nc,nc73241491,2019-08-03T13:28:01.989Z,"18km NW of Parkfield, CA",earthquake,0.72,1.03,0.18,2,automatic,nc,nc
2019-08-03T13:04:41.740Z,35.7961667,-117.6325,12.82,0.81,ml,10,103,0.1083,0.23,ci,ci38687911,2019-08-03T13:08:14.515Z,"20km NNE of Ridgecrest, CA",earthquake,0.7,2.19,0.089,7,automatic,ci,ci
2019-08-03T13:00:50.090Z,35.9448318,-117.3704987,2.86,1.18,ml,18,73,0.08887,0.13,ci,ci38687903,2019-08-03T13:04:36.121Z,"20km N of Searles Valley, CA",earthquake,0.36,1.11,0.218,4,automatic,ci,ci
2019-08-03T12:57:46.970Z,35.9561667,-117.7361667,2.68,1.3,ml,19,71,0.06455,0.15,ci,ci38687895,2019-08-03T13:01:30.101Z,"16km E of Little Lake, CA",earthquake,0.23,0.37,0.214,17,automatic,ci,ci
2019-08-03T12:54:21.540Z,35.793499,-117.6363297,3.59,0.93,ml,15,78,0.1056,0.08,ci,ci38687887,2019-08-03T12:58:04.080Z,"20km N of Ridgecrest, CA",earthquake,0.38,1.02,0.095,4,automatic,ci,ci
2019-08-03T12:52:36.270Z,35.9683333,-117.6481667,-0.53,0.94,ml,11,87,0.1311,0.22,ci,ci38687879,2019-08-03T12:56:21.742Z,"24km E of Little Lake, CA",earthquake,0.55,31.61,0.12,8,automatic,ci,ci
2019-08-03T12:50:58.940Z,35.7298333,-117.5466667,6.49,0.84,ml,14,162,0.1091,0.27,ci,ci38687871,2019-08-03T12:54:43.054Z,"14km WSW of Searles Valley, CA",earthquake,1.01,2,0.062,8,automatic,ci,ci
2019-08-03T12:49:10.270Z,35.8359985,-117.658165,2.52,1.47,ml,26,63,0.09095,0.18,ci,ci38687863,2019-08-03T12:52:42.036Z,"24km N of Ridgecrest, CA",earthquake,0.37,0.62,0.229,6,automatic,ci,ci
2019-08-03T12:44:21.060Z,45.855,-111.366,5.45,1.36,ml,12,87,0.314,0.17,mb,mb80355829,2019-08-03T17:12:02.250Z,"2km W of Manhattan, Montana",earthquake,0.51,9,0.053,4,reviewed,mb,mb
2019-08-03T12:44:13.560Z,35.5298333,-117.4285,2.78,1.95,ml,31,44,0.05241,0.18,ci,ci38687847,2019-08-03T12:54:44.930Z,"25km ESE of Ridgecrest, CA",earthquake,0.23,0.33,0.192,26,automatic,ci,ci
2019-08-03T12:43:47.530Z,34.2113333,-119.6076667,0.96,1.52,ml,14,198,0.2118,0.29,ci,ci38687839,2019-08-03T12:48:01.005Z,"22km NNW of Santa Cruz Is. (E end), CA",earthquake,1.48,31.61,0.168,19,automatic,ci,ci
2019-08-03T12:37:08.050Z,38.8373337,-122.7881699,1.55,0.79,md,8,80,0.002009,0.01,nc,nc73241481,2019-08-03T12:53:02.780Z,"6km WNW of Cobb, CA",earthquake,0.61,0.48,0.13,2,automatic,nc,nc
2019-08-03T12:33:26.230Z,45.8626667,-111.3745,4.16,1.58,ml,16,86,0.309,0.19,mb,mb80355824,2019-08-03T17:07:59.540Z,"3km WNW of Manhattan, Montana",earthquake,0.44,11.5,0.045,7,reviewed,mb,mb
2019-08-03T12:29:52.960Z,35.529,-117.4268333,2.2,2.36,ml,33,32,0.05098,0.16,ci,ci38687823,2019-08-03T12:40:38.130Z,"25km ESE of Ridgecrest, CA",earthquake,0.19,0.37,0.139,25,automatic,ci,ci
2019-08-03T12:27:33.662Z,45.8568,-111.3809,1.23,2.8,ml,,135,0.312,0.35,us,us6000505e,2019-08-03T14:37:49.201Z,"3km W of Manhattan, Montana",earthquake,1.9,1.1,0.053,46,reviewed,us,us
2019-08-03T12:19:16.863Z,25.2606,96.8628,10,4.7,mb,,92,2.545,0.75,us,us6000505r,2019-08-03T13:10:27.040Z,"55km WSW of Myitkyina, Burma",earthquake,7.3,1.9,0.078,50,reviewed,us,us
2019-08-03T12:18:56.790Z,35.6476667,-117.4626667,4.02,1.22,ml,18,100,0.03621,0.17,ci,ci38687807,2019-08-03T12:22:35.543Z,"14km SSW of Searles Valley, CA",earthquake,0.38,0.56,0.202,15,automatic,ci,ci
2019-08-03T12:17:39.980Z,35.8788333,-117.7078333,3.64,1.09,ml,18,117,0.08406,0.18,ci,ci38687799,2019-08-03T12:21:19.032Z,"19km ESE of Little Lake, CA",earthquake,0.34,0.9,0.189,10,automatic,ci,ci
2019-08-03T12:13:39.870Z,35.7988333,-117.5841667,0.74,0.84,ml,13,139,0.1472,0.18,ci,ci38687783,2019-08-03T12:17:19.112Z,"17km WNW of Searles Valley, CA",earthquake,0.56,0.75,0.188,6,automatic,ci,ci
2019-08-03T12:10:40.830Z,35.876,-117.6875,4.01,0.89,ml,12,185,0.0921,0.1,ci,ci38687775,2019-08-03T12:14:25.785Z,"21km ESE of Little Lake, CA",earthquake,0.52,0.64,0.12,7,automatic,ci,ci
2019-08-03T12:09:31.230Z,33.2273333,-116.7385,11.82,1.25,ml,46,38,0.01904,0.17,ci,ci38687767,2019-08-03T12:20:28.960Z,"3km SE of Lake Henshaw, CA",earthquake,0.19,0.61,0.138,25,automatic,ci,ci
2019-08-03T12:03:17.827Z,-24.7121,179.7407,513.57,4.4,mb,,98,4.97,1.05,us,us60005059,2019-08-03T12:26:36.040Z,"South of the Fiji Islands",earthquake,13.7,7.8,0.076,50,reviewed,us,us
2019-08-03T12:01:10.959Z,36.69842911,-97.66066742,3.951354742,1.76,ml,18,123.1910706,0.2133695334,0.2701134278,ok,ok2019pbxl,2019-08-03T12:04:14.288Z,"13km SSE of Medford, Oklahoma",earthquake,3.35357747,2.376447918,,14,automatic,ok,ok
2019-08-03T11:55:45.370Z,35.6311667,-117.4171667,4.69,1.7,ml,26,89,0.03429,0.17,ci,ci38687743,2019-08-03T12:06:24.010Z,"15km SSW of Trona, CA",earthquake,0.27,0.45,0.17,26,automatic,ci,ci
2019-08-03T11:53:31.330Z,35.946,-117.385,0.49,1.2,ml,14,69,0.09915,0.18,ci,ci38687727,2019-08-03T11:57:13.283Z,"20km N of Searles Valley, CA",earthquake,0.34,0.75,0.119,10,automatic,ci,ci
2019-08-03T11:50:07.970Z,33.5683333,-116.6263333,14.52,0.5,ml,24,41,0.01986,0.18,ci,ci38687719,2019-08-03T11:53:54.259Z,"5km ENE of Anza, CA",earthquake,0.31,0.43,0.14,15,automatic,ci,ci
2019-08-03T11:48:27.770Z,35.675,-117.4801667,2.53,1.49,ml,21,66,0.04704,0.22,ci,ci38687711,2019-08-03T11:52:11.249Z,"12km SW of Searles Valley, CA",earthquake,0.28,0.42,0.132,19,automatic,ci,ci
2019-08-03T11:48:07.850Z,36.0496667,-117.8483333,2.07,1.47,ml,19,54,0.05397,0.14,ci,ci38687703,2019-08-03T11:51:51.247Z,"9km E of Coso Junction, CA",earthquake,0.24,0.25,0.294,20,automatic,ci,ci
2019-08-03T11:45:50.230Z,33.9915,-116.0471667,8.88,1.37,ml,30,72,0.04168,0.18,ci,ci38687695,2019-08-03T11:49:18.224Z,"16km S of Twentynine Palms, CA",earthquake,0.29,0.55,0.151,27,automatic,ci,ci
2019-08-03T11:45:18.400Z,33.9968333,-116.0463333,8.35,0.84,ml,15,84,0.04016,0.29,ci,ci38687687,2019-08-03T11:48:53.220Z,"16km S of Twentynine Palms, CA",earthquake,0.61,1.19,0.127,12,automatic,ci,ci
2019-08-03T11:43:46.920Z,35.3813333,-117.8488333,0.85,1.43,ml,25,88,0.1137,0.22,ci,ci38687679,2019-08-03T11:47:29.271Z,"19km W of Johannesburg, CA",earthquake,0.3,0.79,0.174,26,automatic,ci,ci
2019-08-03T11:42:07.750Z,19.4239998,-155.2806702,0.54,1.89,ml,18,68,0.003011,0.19,hv,hv71070822,2019-08-03T11:47:48.130Z,"4km W of Volcano, Hawaii",earthquake,0.23,0.37,0.28,7,automatic,hv,hv
2019-08-03T11:40:36.870Z,34.2066667,-117.6391667,8.87,0.73,ml,16,72,0.03587,0.21,ci,ci38687663,2019-08-03T11:44:12.193Z,"11km NNW of Rancho Cucamonga, CA",earthquake,0.51,0.78,0.119,15,automatic,ci,ci
2019-08-03T11:37:24.710Z,35.5176667,-117.4946667,7.84,1.86,ml,29,43,0.06633,0.2,ci,ci38687655,2019-08-03T11:48:11.850Z,"20km SE of Ridgecrest, CA",earthquake,0.32,0.65,0.138,24,automatic,ci,ci
2019-08-03T11:36:20.770Z,35.5481667,-117.4268333,2.77,1.05,ml,21,69,0.0479,0.18,ci,ci38687647,2019-08-03T11:39:51.680Z,"24km ESE of Ridgecrest, CA",earthquake,0.3,0.35,0.156,14,automatic,ci,ci
2019-08-03T11:34:00.900Z,35.7108333,-117.51,4.06,1.76,ml,30,59,0.08378,0.19,ci,ci38687639,2019-08-03T11:45:07.100Z,"12km WSW of Searles Valley, CA",earthquake,0.25,0.93,0.153,26,automatic,ci,ci
2019-08-03T11:32:56.461Z,36.26145554,-97.7220993,5.523440838,1.65,ml,17,49.83916473,0.1061234623,0.2511079273,ok,ok2019pbwn,2019-08-03T11:36:22.034Z,"15km E of Waukomis, Oklahoma",earthquake,3.065568784,4.566495407,,13,automatic,ok,ok
2019-08-03T11:30:11.100Z,34.245,-117.549,6.72,0.92,ml,13,74,0.06964,0.2,ci,ci38687631,2019-08-03T11:33:48.064Z,"5km WSW of Lytle Creek, CA",earthquake,0.47,0.87,0.264,14,automatic,ci,ci
2019-08-03T11:27:28.980Z,35.8705,-117.6948333,1.36,2.81,ml,31,48,0.08402,0.2,ci,ci38687623,2019-08-03T12:24:49.206Z,"20km ESE of Little Lake, CA",earthquake,0.24,0.58,0.185,25,automatic,ci,ci
2019-08-03T11:27:20.130Z,34.055,-117.5053333,7.04,0.8,ml,20,78,0.03219,0.2,ci,ci38687615,2019-08-03T11:30:59.978Z,"5km NNW of Glen Avon, CA",earthquake,0.42,0.75,0.253,12,automatic,ci,ci
2019-08-03T11:26:52.780Z,19.4109993,-155.2761688,0.48,1.88,ml,23,46,0.009996,0.11,hv,hv71070792,2019-08-03T11:32:33.390Z,"4km WSW of Volcano, Hawaii",earthquake,0.14,0.18,0.27,13,automatic,hv,hv
2019-08-03T11:26:02.980Z,19.1433334,-155.4360046,32.85,2.88,ml,14,252,0.195,0.09,hv,hv71070787,2019-08-03T11:31:45.940Z,"8km SE of Pahala, Hawaii",earthquake,1.73,1.58,0.38,14,automatic,hv,hv
2019-08-03T11:24:18.560Z,35.9296684,-117.6608353,1.57,1.07,ml,21,61,0.1288,0.18,ci,ci38687607,2019-08-03T11:27:52.015Z,"22km E of Little Lake, CA",earthquake,0.29,0.52,0.108,2,automatic,ci,ci
2019-08-03T11:23:22.100Z,36.0873333,-117.8445,0.81,0.89,ml,10,118,0.03133,0.14,ci,ci38687599,2019-08-03T11:27:04.012Z,"10km ENE of Coso Junction, CA",earthquake,0.4,0.43,0.171,10,automatic,ci,ci
2019-08-03T11:22:31.860Z,36.4440002,-121.0258331,8.12,1.72,md,10,105,0.02002,0.04,nc,nc73241446,2019-08-03T13:29:01.994Z,"14km SE of Pinnacles, CA",earthquake,0.32,0.68,0.36,8,automatic,nc,nc
2019-08-03T11:19:15.460Z,35.7988319,-117.6204987,4.45,0.95,ml,19,120,0.1178,0.11,ci,ci38687591,2019-08-03T11:22:46.990Z,"20km W of Searles Valley, CA",earthquake,0.29,0.84,0.096,4,automatic,ci,ci
2019-08-03T11:17:22.420Z,18.9973,-66.8205,32,2.24,md,15,286,0.5961,0.34,pr,pr2019215010,2019-08-03T15:38:21.107Z,"56km N of Hatillo, Puerto Rico",earthquake,1.39,6.07,0.32,13,reviewed,pr,pr
